id,type_id,action_id,scene_id,target_objs_id,target_actions,meaning,language_words_op,language_words_ad,gesture_words_ad,g_pointing_obj_probs
00-00-0-0_0,0,0,00-00,['00-00-00-cub-r-10'],['push'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[1.0, 0.0650336915173945, 0.18333115506442996, 0.06087253106221303, 0.20127486255315, 0.06241594698576899, 0.33851429909445985, 0.08855751372258377]]"
00-00-1-1_0,1,0,00-00,['00-00-00-cub-r-10'],['push'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[1.0, 0.06238472268516107, 0.18152728354779524, 0.05924950477000962, 0.2225941544843964, 0.060001471428826565, 0.330211201505041, 0.0840316615787701]]"
00-00-2-2_0,2,0,00-00,['00-00-00-cub-r-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[1.0, 0.02917913889645565, 0.07245277446036302, 0.03079452359102351, 0.3228330936306196, 0.030025206534932465, 0.4772359700363647, 0.03747929285024111]]"
00-00-3-3_0,3,0,00-00,['00-00-00-cub-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[1.0, 0.06049167414982818, 0.1709496202954165, 0.057739430409540514, 0.2189261790358312, 0.0585391168983442, 0.35192476121587846, 0.08142921799516091]]"
00-00-4-4_0,4,0,00-00,['00-00-00-cub-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[1.0, 0.07587337387091002, 0.2118024166002358, 0.06785865293611648, 0.1739491643849139, 0.07140189279378334, 0.2930936026000211, 0.10602089681401937]]"
00-00-5-0_0,0,0,00-00,['00-00-01-cub-r-10'],['push'],push red cube,"[['red', 'cube']]",[['move']],[['g0']],"[[0.02564703649344243, 1.0, 0.3324848325666577, 0.07153885069852836, 0.01749511024917013, 0.4479035175666572, 0.01578631542131608, 0.08914433700422814]]"
00-00-6-1_0,1,0,00-00,['00-00-01-cub-r-10'],['push'],push red big cube,"[['red', 'big', 'cube']]",[['move']],[['g0']],"[[0.022182260459642413, 1.0, 0.285917238543058, 0.06565115048433061, 0.015243280491596818, 0.5225773724739767, 0.013716580850194046, 0.07471211669720157]]"
00-00-7-2_0,2,0,00-00,['00-00-01-cub-r-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.0161693595735254, 1.0, 0.40598234710336134, 0.05320315244855803, 0.011143461046941833, 0.44897213122184615, 0.00992587400661607, 0.05460367459915114]]"
00-00-8-3_0,3,0,00-00,['00-00-01-cub-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.07730704632247057, 1.0, 1.0, 0.21275468072071568, 0.04956725481114899, 0.30691260032294126, 0.04201564784675946, 0.31144276997596404]]"
00-00-9-4_0,4,0,00-00,['00-00-01-cub-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.05305679537447688, 1.0, 1.0, 0.26467076367239545, 0.03670331110930554, 0.46152876073181753, 0.030988804481203305, 0.15305156463080122]]"
00-00-10-0_0,0,0,00-00,['00-00-02-cub-y-10'],['not_applicable'],push yellow cube,"[['yellow', 'cube']]",[['move']],[['g0']],"[[0.10002358013228933, 1.0, 1.0, 0.12413272819219512, 0.05323659109066678, 0.13915244329521362, 0.04441301505871104, 0.5390416422309242]]"
00-00-11-1_0,1,0,00-00,['00-00-02-cub-y-10'],['not_applicable'],push yellow big cube,"[['yellow', 'big', 'cube']]",[['move']],[['g0']],"[[0.23598045785158872, 0.1956212415991287, 1.0, 0.11491555391193323, 0.09348006293789551, 0.10472608399017577, 0.06971881138409193, 0.18555778832518602]]"
00-00-12-2_0,2,0,00-00,['00-00-02-cub-y-10'],['not_applicable'],push cube,[['cube']],[['move']],[['g0']],"[[0.11067757846604521, 1.0, 1.0, 0.22985909293381324, 0.06764778429977172, 0.22688377297833115, 0.055018925922969, 0.3099128453990697]]"
00-00-13-3_0,3,0,00-00,['00-00-02-cub-y-10'],['not_applicable'],push yellow solid,"[['yellow', 'solid']]",[['move']],[['g0']],"[[0.11176487669619606, 0.33033141023885343, 1.0, 0.16423785518322337, 0.06793315220625522, 0.12644658738851347, 0.051087069003299714, 0.14819904928365876]]"
00-00-14-4_0,4,0,00-00,['00-00-02-cub-y-10'],['not_applicable'],push yellow big solid,"[['yellow', 'big', 'solid']]",[['move']],[['g0']],"[[0.11770990356891438, 0.2872666006871888, 1.0, 0.18758780235763906, 0.07498808041050009, 0.13480627049286353, 0.05550360497030627, 0.14213773751258796]]"
00-00-15-0_0,0,0,00-00,['00-00-03-cyl-r-10'],['not_applicable'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.09692891561652535, 0.34715350860676036, 0.2544453475110053, 1.0, 0.08831890628534629, 1.0, 0.07470393492180977, 0.13844938705855292]]"
00-00-16-1_0,1,0,00-00,['00-00-03-cyl-r-10'],['not_applicable'],push red big cylinder,"[['red', 'big', 'cylinder']]",[['move']],[['g0']],"[[0.021551965538849874, 0.05446768356870111, 0.05172399047154824, 1.0, 0.020369165237574947, 0.8066524726199316, 0.01695725446261762, 0.028277468100776505]]"
00-00-17-2_0,2,0,00-00,['00-00-03-cyl-r-10'],['not_applicable'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.09092181510155133, 0.3733003023999673, 0.25179030171302796, 1.0, 0.0819156387563103, 1.0, 0.06930049723617746, 0.13277144479296546]]"
00-00-18-3_0,3,0,00-00,['00-00-03-cyl-r-10'],['not_applicable'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.10124002962208994, 0.3153713442531223, 0.27375226397368424, 1.0, 0.09338050224306983, 1.0, 0.07764788598332158, 0.13860797392471194]]"
00-00-19-4_0,4,0,00-00,['00-00-03-cyl-r-10'],['not_applicable'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.039261503561810525, 0.09493715240764657, 0.09534492385752281, 1.0, 0.037279172274561366, 0.6517738730245461, 0.0307944373373692, 0.05060893753654333]]"
00-00-20-0_0,0,0,00-00,['00-00-04-cyl-r-03'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.738842756911942, 0.018854557865288106, 0.045068291164307064, 0.021990151969367364, 1.0, 0.02025329399601435, 0.13207214255029365, 0.022918805542787406]]"
00-00-21-1_0,1,0,00-00,['00-00-04-cyl-r-03'],['push'],push red small cylinder,"[['red', 'small', 'cylinder']]",[['move']],[['g0']],"[[0.49174174535310733, 0.03681910331556307, 0.08389982013953919, 0.0440152316570951, 1.0, 0.04026699810173439, 0.25884998816860977, 0.04440711326435119]]"
00-00-22-2_0,2,0,00-00,['00-00-04-cyl-r-03'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.9681073417576922, 0.0023631899215895715, 0.005824361545023104, 0.002723863338829706, 1.0, 0.0025136162605283014, 0.015586898172426844, 0.0028807290039102504]]"
00-00-23-3_0,3,0,00-00,['00-00-04-cyl-r-03'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.634821887020016, 0.028031497917506382, 0.06723137830574952, 0.03299158605172825, 1.0, 0.03018111137997076, 0.17287308199544668, 0.033869457329582416]]"
00-00-24-4_0,4,0,00-00,['00-00-04-cyl-r-03'],['push'],push red small solid,"[['red', 'small', 'solid']]",[['move']],[['g0']],"[[0.5742078768571087, 0.0323828155939977, 0.07641862464581177, 0.038354841873526224, 1.0, 0.035052043121460236, 0.20451328200316563, 0.03907051590492975]]"
00-00-25-0_0,0,0,00-00,['00-00-05-cub-y-10'],['push'],push yellow cube,"[['yellow', 'cube']]",[['move']],[['g0']],"[[0.05119379840771677, 0.2568829636372083, 0.1149754967137667, 0.40943743489827494, 0.04356824659566911, 1.0, 0.0396002808580276, 0.08434177888933647]]"
00-00-26-1_0,1,0,00-00,['00-00-05-cub-y-10'],['push'],push yellow big cube,"[['yellow', 'big', 'cube']]",[['move']],[['g0']],"[[0.0901688936016844, 0.4079968621249658, 0.21144095472055882, 1.0, 0.07934596750294362, 1.0, 0.07024752652189963, 0.1407997955279479]]"
00-00-27-2_0,2,0,00-00,['00-00-05-cub-y-10'],['push'],push cube,[['cube']],[['move']],[['g0']],"[[0.058691442315373966, 0.1787229610283694, 0.1145713074962708, 0.4600024330028936, 0.05212566001461932, 1.0, 0.047491492829638084, 0.08839470331283475]]"
00-00-28-3_0,3,0,00-00,['00-00-05-cub-y-10'],['push'],push yellow solid,"[['yellow', 'solid']]",[['move']],[['g0']],"[[0.045634804643881435, 0.22238168870620467, 0.10289111258318814, 0.48026550732838763, 0.03915672541581671, 1.0, 0.03541285311331523, 0.07425730820920609]]"
00-00-29-4_0,4,0,00-00,['00-00-05-cub-y-10'],['push'],push yellow big solid,"[['yellow', 'big', 'solid']]",[['move']],[['g0']],"[[0.08115719343686979, 0.4548744883577171, 0.200762078866028, 1.0, 0.07047786975792103, 1.0, 0.06236386796446016, 0.1303645016170041]]"
00-00-30-0_0,0,0,00-00,['00-00-06-cyl-r-10'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.7652323120184792, 0.02289211000654311, 0.0421868241957922, 0.025074402220062, 0.08948873373734785, 0.025511989286268195, 1.0, 0.02961362853550733]]"
00-00-31-1_0,1,0,00-00,['00-00-06-cyl-r-10'],['push'],push red big cylinder,"[['red', 'big', 'cylinder']]",[['move']],[['g0']],"[[0.35569443371198106, 0.06465576638840109, 0.10934422332977643, 0.07539977250274718, 0.23736940663979925, 0.07579236761492912, 1.0, 0.0817440298123661]]"
00-00-32-2_0,2,0,00-00,['00-00-06-cyl-r-10'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.38576464807439453, 0.0639036939619825, 0.10786321081688102, 0.07307552594260351, 0.21353920242295624, 0.07437360535601203, 1.0, 0.08148011342517014]]"
00-00-33-3_0,3,0,00-00,['00-00-06-cyl-r-10'],['push'],push red solid,"[['red', 'solid']]",[['move']],[['g0']],"[[0.3145778629382844, 0.06597348315661909, 0.11161110025673274, 0.07896906563908805, 0.2683225902277696, 0.078109193963559, 1.0, 0.08243670381794684]]"
00-00-34-4_0,4,0,00-00,['00-00-06-cyl-r-10'],['push'],push red big solid,"[['red', 'big', 'solid']]",[['move']],[['g0']],"[[0.3213266458790974, 0.06700835090605141, 0.11257139078712221, 0.07963296442454627, 0.2561151505187703, 0.07930084608460454, 1.0, 0.08404465139980784]]"
00-00-35-0_0,0,0,00-00,['00-00-07-cyl-r-03'],['push'],push red cylinder,"[['red', 'cylinder']]",[['move']],[['g0']],"[[0.2500666928286382, 1.0, 1.0, 0.21750099893346075, 0.11971805881807497, 0.30340579809114904, 0.10930845132867704, 1.0]]"
00-00-36-1_0,1,0,00-00,['00-00-07-cyl-r-03'],['push'],push red small cylinder,"[['red', 'small', 'cylinder']]",[['move']],[['g0']],"[[0.2581848123497088, 1.0, 1.0, 0.21479736345706987, 0.12119597973795336, 0.29517307210609495, 0.11064877234917309, 1.0]]"
00-00-37-2_0,2,0,00-00,['00-00-07-cyl-r-03'],['push'],push cylinder,[['cylinder']],[['move']],[['g0']],"[[0.24575978130896303, 1.0, 1.0, 0.2129554467938302, 0.11928682524424992, 0.3109083079933731, 0.11108963865958388, 1.0]]"
